Gazette Number,Date,Description,Link
2483/25,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act No 11 of 2021
- GAC Services (PVT) LTD",https://documents.gov.lk/view/egz/2026/4/2483-25_E.pdf
2483/26,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act No 11 of 2021
- My Blockchain BPO- (PVT) LTD",https://documents.gov.lk/view/egz/2026/4/2483-26_E.pdf
2483/27,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act No 11 of 2021
- Red Rose Overseas Trading (PVT ) LTD",https://documents.gov.lk/view/egz/2026/4/2483-27_E.pdf
2483/28,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act No 11 of 2021
- Eyepax Labs (PVT) LTD",https://documents.gov.lk/view/egz/2026/4/2483-28_E.pdf
2483/29,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act No 11 of 2021
- Acetrack Technologices (PVT) LTD",https://documents.gov.lk/view/egz/2026/4/2483-29_E.pdf
2483/30,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act No 11 of 2021
- Inspirex Global (PVT ) LTD",https://documents.gov.lk/view/egz/2026/4/2483-30_E.pdf
2483/32,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act No 11 of 2021
- Casa BPO SDN. BHD",https://documents.gov.lk/view/egz/2026/4/2483-32_E.pdf
2483/33,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act No 11 of 2021
- Sebsa World (PVT) LTD",https://documents.gov.lk/view/egz/2026/4/2483-33_E.pdf
2483/35,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act No 11 of 2021
- Fortude INnovations (PVT) LTD",https://documents.gov.lk/view/egz/2026/4/2483-35_E.pdf
2483/36,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act No 11 of 2021
- Dinsusa Ventures (PVT) LTD",https://documents.gov.lk/view/egz/2026/4/2483-36_E.pdf
2483/37,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act No 11 of 2021
- KAL Software CPC (PVT) LTD",https://documents.gov.lk/view/egz/2026/4/2483-37_E.pdf
2483/40,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021 - Kodez PTY. LTD",https://documents.gov.lk/view/egz/2026/4/2483-40_E.pdf
2483/41,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021 - Iconique Information Technology Consultancy LLC",https://documents.gov.lk/view/egz/2026/4/2483-41_E.pdf
2483/42,2026-04-10,Legal Affairs Departments - The Colombo Portcity Economic Commission Act No 11 of 2021 Qoria Lanka Services ( PVT) Limited,https://documents.gov.lk/view/egz/2026/4/2483-42_E.pdf
2483/43,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021 - Decryptellix (Pvt) Ltd",https://documents.gov.lk/view/egz/2026/4/2483-43_E.pdf
2483/44,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021 - Robotic Assistance Devices Lanka (Pvt) Ltd",https://documents.gov.lk/view/egz/2026/4/2483-44_E.pdf
2483/45,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021 - H & S Signature PC (Pvt) Ltd",https://documents.gov.lk/view/egz/2026/4/2483-45_E.pdf
2483/46,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021 - Exam Genius - FZCO",https://documents.gov.lk/view/egz/2026/4/2483-46_E.pdf
2483/47,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021 - Aurion Engineering LLC",https://documents.gov.lk/view/egz/2026/4/2483-47_E.pdf
2483/48,2026-04-10,"Legal Affairs Department - The Colombo Port city Economic Commission Act No. 11 of 2021
Icom Trading pc (Pvt ) Ltd.",https://documents.gov.lk/view/egz/2026/4/2483-48_E.pdf
2483/49,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021 - Intervest Global Delivery (Pvt) Ltd",https://documents.gov.lk/view/egz/2026/4/2483-49_E.pdf
2483/50,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021 - Intervest Advanced Technologies (Pvt) Ltd",https://documents.gov.lk/view/egz/2026/4/2483-50_E.pdf
2483/51,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021 - G-Start Tech Limited",https://documents.gov.lk/view/egz/2026/4/2483-51_E.pdf
2483/52,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021 - Adminease Solution (Pvt) Ltd",https://documents.gov.lk/view/egz/2026/4/2483-52_E.pdf
2483/53,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021 - Bridge of Honor Limited",https://documents.gov.lk/view/egz/2026/4/2483-53_E.pdf
2483/54,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021 - Wulfstan Analytics (Pvt) Ltd",https://documents.gov.lk/view/egz/2026/4/2483-54_E.pdf
2483/55,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021 - Investire Global (Pvt) Ltd",https://documents.gov.lk/view/egz/2026/4/2483-55_E.pdf
2483/56,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021 - KEO International Consultants W.L.L",https://documents.gov.lk/view/egz/2026/4/2483-56_E.pdf
2483/57,2026-04-10,Legal Affairs Department - The Colombo Port City Economic Commission Intelligent Optical Solutions Pc (Pvt) Ltd,https://documents.gov.lk/view/egz/2026/4/2483-57_E.pdf
2483/58,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021 - Elfving Off-Grid Company (Pvt) Ltd",https://documents.gov.lk/view/egz/2026/4/2483-58_E.pdf
2483/59,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021 - Techlabs International (Pvt) Ltd",https://documents.gov.lk/view/egz/2026/4/2483-59_E.pdf
2483/60,2026-04-10,"Legal Affairs Department - The Colombo Port City Economic Commission Act, No. 11 of 2021 - Vaultino LLC",https://documents.gov.lk/view/egz/2026/4/2483-60_E.pdf
